(0.4204, 187.34680593013763)
(0.3689, 221.32665956020355)
(0.3523, 221.29878497123718)
(0.318, 238.5160105228424)
(0.3905, 194.79205548763275)
(0.3995, 186.3184369802475)
(0.3643, 198.4071786403656)
(0.4274, 167.75783693790436)
(0.31, 225.94791913032532)
(0.3603, 196.72881591320038)
(0.3929, 171.52773797512054)
(0.4185, 167.53027379512787)
(0.4731, 149.31104469299316)
(0.3724, 182.09409427642822)
(0.3649, 179.73216545581818)
(0.3821, 174.91650986671448)
(0.3695, 174.6524896621704)
(0.3948, 168.261976480484)
(0.4255, 163.10116362571716)
(0.4039, 166.55861616134644)
(0.352, 179.08278572559357)
(0.4242, 163.72611808776855)
(0.4, 167.36277723312378)
(0.3576, 176.4781857728958)
(0.4289, 163.53860986232758)
(0.3129, 186.33536684513092)
(0.4083, 169.39589130878448)
(0.4025, 171.5846586227417)
(0.3468, 181.19450187683105)
(0.3295, 185.33051669597626)
(0.3675, 178.19433975219727)
(0.361, 182.9854712486267)
(0.3246, 188.53428184986115)
(0.3408, 188.86540377140045)
(0.2758, 199.48979318141937)
(0.3748, 182.58750879764557)
(0.3296, 191.27463269233704)
(0.2722, 199.9687956571579)
(0.2731, 203.10760581493378)
(0.3164, 197.07561016082764)
(0.2899, 201.25965094566345)
(0.298, 198.7483538389206)
(0.2943, 198.41108787059784)
(0.2823, 203.09887731075287)
(0.2794, 200.2018882036209)
(0.2411, 210.33396553993225)
(0.2831, 203.26491844654083)
(0.3107, 198.11179161071777)
(0.2571, 205.2417584657669)
(0.2774, 202.99485170841217)
(0.299, 199.41627538204193)
(0.2541, 208.78598809242249)
(0.2994, 198.890878200531)
(0.2365, 212.169588804245)
(0.2463, 209.32103860378265)
(0.2832, 201.72808635234833)
(0.2663, 204.65522146224976)
(0.2877, 199.48273813724518)
(0.299, 199.35707986354828)
(0.3031, 199.25030052661896)
(0.3118, 193.4627001285553)
(0.3344, 194.60773479938507)
(0.3, 197.77387511730194)
(0.3183, 195.56116485595703)
(0.3371, 190.3052374124527)
(0.31, 196.55295133590698)
(0.3822, 183.30634653568268)
(0.3698, 186.05316185951233)
(0.3544, 184.3138245344162)
(0.3167, 192.4544299840927)
(0.3713, 182.73600697517395)
(0.4054, 173.32710075378418)
(0.3968, 173.83565366268158)
(0.3915, 173.7613251209259)
(0.4035, 170.40648531913757)
(0.3563, 180.0164659023285)
(0.4068, 170.57076263427734)
(0.4437, 161.29072642326355)
(0.4121, 166.96498119831085)
(0.4281, 163.25018334388733)
(0.409, 164.9884833097458)
(0.4724, 150.6085034608841)
(0.4439, 158.39395904541016)
(0.4031, 165.57588839530945)
(0.4178, 163.05604445934296)
(0.4503, 154.67248368263245)
(0.3932, 169.8223556280136)
(0.395, 174.2235895395279)
(0.4045, 169.39788913726807)
(0.4296, 163.07929730415344)
(0.4022, 174.17851853370667)
(0.3966, 183.200119972229)
(0.3699, 184.0853509902954)
(0.4453, 166.57390809059143)
(0.4197, 178.41776728630066)
(0.3205, 232.21141624450684)
(0.3747, 204.291894197464)
(0.4179, 184.56548261642456)
(0.3858, 206.78352630138397)
(0.3697, 215.66708719730377)
